"filename", "language", "TypeScript", "JSON", "Markdown", "YAML", "PostCSS", "XML", "vue", "HTML", "comment", "blank", "total"
"d:\workspace\economy34-vitesse\src\data\DLCs.ts", "TypeScript", 504, 0, 0, 0, 0, 0, 0, 0, 10, 63, 577
"d:\workspace\economy34-vitesse\src\data\binding.ts", "TypeScript", 740, 0, 0, 0, 0, 0, 0, 0, 5, 64, 809
"d:\workspace\economy34-vitesse\src\data\challenges.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 5, 117
"d:\workspace\economy34-vitesse\src\data\characters.json", "JSON", 0, 143918, 0, 0, 0, 0, 0, 0, 0, 0, 143918
"d:\workspace\economy34-vitesse\src\data\charactersOld.json", "JSON", 0, 148144, 0, 0, 0, 0, 0, 0, 0, 0, 148144
"d:\workspace\economy34-vitesse\src\data\constants.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 0, 0, 29, 268
"d:\workspace\economy34-vitesse\src\data\heritage.ts", "TypeScript", 592, 0, 0, 0, 0, 0, 0, 0, 0, 36, 628
"d:\workspace\economy34-vitesse\src\data\intensity.ts", "TypeScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 3, 168
"d:\workspace\economy34-vitesse\src\data\missions.ts", "TypeScript", 222, 0, 0, 0, 0, 0, 0, 0, 0, 2, 224
"d:\workspace\economy34-vitesse\src\data\origin.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 8, 124
"d:\workspace\economy34-vitesse\src\data\rules.ts", "TypeScript", 224, 0, 0, 0, 0, 0, 0, 0, 0, 27, 251
"d:\workspace\economy34-vitesse\src\data\talents.ts", "TypeScript", 964, 0, 0, 0, 0, 0, 0, 0, 21, 137, 1122
"d:\workspace\economy34-vitesse\src\data\userCharacters.json", "JSON", 0, 25448, 0, 0, 0, 0, 0, 0, 0, 0, 25448
"d:\workspace\economy34-vitesse\src\data\userWorlds.json", "JSON", 0, 357, 0, 0, 0, 0, 0, 0, 0, 2, 359
"d:\workspace\economy34-vitesse\src\data\waifu_perks.ts", "TypeScript", 1119, 0, 0, 0, 0, 0, 0, 0, 1, 8, 1128
"d:\workspace\economy34-vitesse\src\data\worlds.json", "JSON", 0, 1474, 0, 0, 0, 0, 0, 0, 0, 0, 1474
"d:\workspace\economy34-vitesse\src\logic\dialog.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\workspace\economy34-vitesse\src\logic\index.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 12, 90
"d:\workspace\economy34-vitesse\src\logic\misc.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 8, 99
"d:\workspace\economy34-vitesse\src\logic\perksLogic.ts", "TypeScript", 431, 0, 0, 0, 0, 0, 0, 0, 14, 42, 487
"d:\workspace\economy34-vitesse\src\logic\toggles.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"d:\workspace\economy34-vitesse\src\main.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 3, 4, 38
"d:\workspace\economy34-vitesse\src\pages\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 8, 21
"d:\workspace\economy34-vitesse\src\pages\[...all].vue", "vue", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\workspace\economy34-vitesse\src\pages\about.vue", "vue", 0, 0, 0, 0, 0, 0, 53, 0, 0, 1, 54
"d:\workspace\economy34-vitesse\src\pages\binding\index.vue", "vue", 0, 0, 0, 0, 0, 0, 212, 0, 0, 24, 236
"d:\workspace\economy34-vitesse\src\pages\challenges.vue", "vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"d:\workspace\economy34-vitesse\src\pages\changelog.vue", "vue", 0, 0, 0, 0, 0, 0, 338, 0, 0, 3, 341
"d:\workspace\economy34-vitesse\src\pages\companions\index.vue", "vue", 0, 0, 0, 0, 0, 0, 294, 0, 0, 31, 325
"d:\workspace\economy34-vitesse\src\pages\credits.vue", "vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 2, 39
"d:\workspace\economy34-vitesse\src\pages\everything.vue", "vue", 0, 0, 0, 0, 0, 0, 110, 0, 0, 21, 131
"d:\workspace\economy34-vitesse\src\pages\help.vue", "vue", 0, 0, 0, 0, 0, 0, 82, 0, 0, 2, 84
"d:\workspace\economy34-vitesse\src\pages\heritage\index.vue", "vue", 0, 0, 0, 0, 0, 0, 132, 0, 0, 16, 148
"d:\workspace\economy34-vitesse\src\pages\index.vue", "vue", 0, 0, 0, 0, 0, 0, 139, 0, 0, 10, 149
"d:\workspace\economy34-vitesse\src\pages\intensity\index.vue", "vue", 0, 0, 0, 0, 0, 0, 73, 0, 0, 8, 81
"d:\workspace\economy34-vitesse\src\pages\missions.vue", "vue", 0, 0, 0, 0, 0, 0, 58, 0, 0, 2, 60
"d:\workspace\economy34-vitesse\src\pages\origin\index.vue", "vue", 0, 0, 0, 0, 0, 0, 114, 0, 0, 11, 125
"d:\workspace\economy34-vitesse\src\pages\talents.vue", "vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\workspace\economy34-vitesse\src\pages\talents\defense.vue", "vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"d:\workspace\economy34-vitesse\src\pages\talents\home.vue", "vue", 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"d:\workspace\economy34-vitesse\src\pages\talents\perks.vue", "vue", 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"d:\workspace\economy34-vitesse\src\pages\talents\ride.vue", "vue", 0, 0, 0, 0, 0, 0, 156, 0, 0, 13, 169
"d:\workspace\economy34-vitesse\src\pages\talents\specific.vue", "vue", 0, 0, 0, 0, 0, 0, 134, 0, 0, 10, 144
"d:\workspace\economy34-vitesse\src\pages\talents\talent.vue", "vue", 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"d:\workspace\economy34-vitesse\src\pages\world\index.vue", "vue", 0, 0, 0, 0, 0, 0, 127, 0, 0, 15, 142
"d:\workspace\economy34-vitesse\src\store\challenges.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\workspace\economy34-vitesse\src\store\chargen.ts", "TypeScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 31, 176
"d:\workspace\economy34-vitesse\src\store\play.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\workspace\economy34-vitesse\src\store\saves.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 9, 79
"d:\workspace\economy34-vitesse\src\store\store.ts", "TypeScript", 260, 0, 0, 0, 0, 0, 0, 0, 0, 34, 294
"d:\workspace\economy34-vitesse\src\styles\main.css", "PostCSS", 0, 0, 0, 0, 58, 0, 0, 0, 1, 13, 72
"d:\workspace\economy34-vitesse\tsconfig.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 5, 0, 26
"d:\workspace\economy34-vitesse\vite.config.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 7, 12, 85
"d:\workspace\economy34-vitesse\windi.config.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"Total", "-", 6301, 325709, 52, 3040, 58, 4, 7494, 35, 77, 1882, 344652
